,process_number,decision_type,document_href,judgement_date,decision_text,judging_body,judge,district,justice_secret,publication_date
62,0061784-25.2021.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925638af763fd191252e71d8c17947faf61b9b0c8c3cf6544d248,20230110,"DECISÃO MONOCRÁTICA. MANDADO DE SEGURANÇA. CONCURSO PÚBLICO PARA OUTORGA DAS DELEGAÇÕES NOTARIAIS E REGISTRAIS DO ESTADO DO PARANÁ. INSURGÊNCIA CONTRA O CANCELAMENTO DA INSCRIÇÃO DO CANDIDATO. PEDIDO DE DESISTÊNCIA DA AÇÃO MANDAMENTAL FORMULADO PELO IMPETRANTE APÓS O PROTOCOLO DA DEMANDA. ADMISSIBILIDADE A QUALQUER TEMPO, DESDE QUE ANTES DO TRÂNSITO EM JULGADO, NÃO HAVENDO NECESSIDADE DE PRÉVIA ANUÊNCIA DA PARTE ADVERSA, CONFORME ENTENDIMENTO VINCULANTE DO STF QUANTO À MATÉRIA. HOMOLOGAÇÃO. ART. 485, INCISO VIII, DO CÓDIGO DE PROCESSO CIVIL. AÇÃO EXTINTA SEM RESOLUÇÃO DE MÉRITO, ANTE A HOMOLOGAÇÃO DE PEDIDO DE DESISTÊNCIA.",4ª Câmara Cível,Maria Aparecida Blanco de Lima,* Não definida,False,20230110
63,0004521-64.2020.8.16.0131,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563007b168452fd6c3fa30e793f58e62586b0c8c3cf6544d248,20230110,"DECISÃO MONOCRÁTICA. APELAÇÃO CÍVEL. DECISÃO INTERLOCUTÓRIA QUE RESOLVE INCIDENTE DE REMOÇÃO DE INVENTARIANTE. CABIMENTO DE AGRAVO DE INSTRUMENTO. INTELIGÊNCIA DO PARÁGRAFO ÚNICO DO ARTIGO 1.015 DO CÓDIGO DE PROCESSO CIVIL. FUNGIBILIDADE. NÃO CABIMENTO, NO CASO CONCRETO. ERRO GROSSEIRO. RECURSO NÃO CONHECIDO. 1. De acordo com o art. 1.015, parágrafo único do Código de Processo Civil, caberá Agravo de Instrumento contra decisões interlocutórias proferidas em processo de inventário. Assim, tratando-se de decisão interlocutória que resolve Incidente de Remoção de Inventariante, o recurso cabível é o Agravo de Instrumento, e não o recurso de apelação. 2. “Com o advento do vigente Código de Processo Civil/2015, não mais há dúvida objetiva acerca do cabimento do agravo de instrumento em face da decisão que julga incidente de remoção do inventariante, descabendo a aplicação do princípio da fungibilidade, ante o erro grosseiro verificado ao manejar o apelo. Inteligência do art. 623, par. único c/c art. 203, §1º e com o art. 1.015, par. único, todos do CPC” (TJPR - 12ª Câmara Cível - 0010014-10.2020.8.16.0038 - Fazenda Rio Grande - Rel.: DESEMBARGADORA IVANISE MARIA TRATZ MARTINS - J. 02.05.2022).",12ª Câmara Cível,Vilma Régia Ramos de Rezende,Pato Branco,False,20230110
64,0002232-81.2020.8.16.0189,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae726918beba419f303decefb0916c69d42af49cfa909f8bf88bec55,20230110,"EMENTA: RECURSO INOMINADO – JUIZADO ESPECIAL DA FAZENDA PÚBLICA - SERVIDOR ESTADUAL – POLICIAL MILITAR – RESERVA REMUNERADA - CONTRIBUIÇÃO PREVIDENCIÁRIA – ISENÇÃO – LEI ESTADUAL N. 17.435/12 REVOGADA PELA LEI FEDERAL N. 13.954/19, QUE ALTEROU O DECRETO-LEI N. 667/69 ADICIONANDO O ART. 24-C – ALÍQUOTA DE CONTRIBUIÇÃO PREVIDENCIÁRIA INCIDENTE SOBRE A REMUNERAÇÃO DE INATIVOS E PENSIONISTAS – NOVA LEI ESTADUAL (N. 20.635/21) QUE VOLTA A REGULAMENTAR ISENÇÃO – PEDIDO DE RESTITUIÇÃO – INTERREGNO TEMPORAL CUJA CONTRIBUIÇÃO PREVIDENCIÁRIA FOI EXIGIDA – RE N. 1.338.750/SC (TEMA 1.177 DO STF) – DECISÃO DE REPERCUSSÃO GERAL – APARENTE EXTRAVASAMENTO DO ÂMBITO LEGISLATIVO DE ESTABELECER NORMAS GERAIS -– EMBARGOS DECLARATÓRIOS QUE MODULAM OS EFEITOS DA DECISÃO – EFEITO PROSPECTIVO – HIGIDEZ DOS RECOLHIMENTOS DA CONTRIBUIÇÃO DE MILITARES, ATIVOS OU INATIVOS, E DE SEUS PENSIONISTAS, EFETUADOS NOS MOLDES INAUGURADOS PELA LEI 13.954/19, ATÉ 1º DE JANEIRO DE 2023 – PREVALÊNCIA DOS PRINCÍPIOS DA BOA-FÉ E SEGURANÇA JURÍDICA – SENTENÇA DE IMPROCEDÊNCIA MANTIDA. Recurso conhecido e desprovido. Com arrimo no artigo 932 do Código de Processo Civil, em liame com a Súmula sob o nº 568 do Superior Tribunal de Justiça e na forma estabelecida do artigo 12, inciso XIII, do Regimento Interno das Turmas Recursais dos Juizados Especiais deste Tribunal, os quais permitem ao relator dar prosseguimento ao recurso quando houver entendimento dominante acerca do tema, passo a julgar monocraticamente o caso abordado nos autos.",4ª Turma Recursal,Marco Vinicius Schiebel,Pontal do Paraná,False,20230110
65,0044121-74.2019.8.16.0019,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae7269187008aba64b7e5e34154d402a845489d1fa909f8bf88bec55,20230110,"EMENTA: RECURSO INOMINADO – FASE DE CONHECIMENTO – AÇÃO DE INDENIZAÇÃO POR DANOS MORAIS – EXTINÇÃO POR INDEFERIMENTO DA PETIÇÃO INICIAL – IMPOSSIBILIDADE – DECISÃO SURPRESA – NULIDADE – VIOLAÇÃO AOS ARTS. 9 E 10 DO CPC – NECESSIDADE DE OBSERVÂNCIA DOS PRINCÍPIOS DO CONTRADITÓRIO E AMPLA DEFESA – COMPROVAÇÃO INDICIÁRIA DA EXISTÊNCIA DE RELAÇÃO JURÍDICA ENTRE AS PARTES – PRIMAZIA DO JULGAMENTO DO MÉRITO – APLICAÇÃO DA INTERPRETAÇÃO LÓGICO/SISTEMÁTICA – NÃO INCIDÊNCIA DE ALGUMA DAS HIPÓTESES ENTABULADAS NO § 1º DO ART 330, DO CPC – SENTENÇA ANULADA DE OFÍCIO – RETORNO DOS AUTOS À ORIGEM PARA REGULAR PROSSEGUIMENTO DO FEITO. Recurso prejudicado. Com arrimo no artigo 932 do Código de Processo Civil, em liame com a Súmula sob o nº 568 do Superior Tribunal de Justiça e na forma estabelecida do artigo 12, inciso XIII, do Regimento Interno das Turmas Recursais dos Juizados Especiais deste Tribunal, os quais permitem ao relator dar prosseguimento ao recurso quando houver entendimento dominante acerca do tema, passo a julgar monocraticamente o caso abordado nos autos.",4ª Turma Recursal,Marco Vinicius Schiebel,Ponta Grossa,False,20230110
66,0044123-44.2019.8.16.0019,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae726918f87ba9ad4c20d7225bce1bf63ddea135fa909f8bf88bec55,20230110,"EMENTA: RECURSO INOMINADO – FASE DE CONHECIMENTO – AÇÃO DE INDENIZAÇÃO POR DANOS MORAIS – EXTINÇÃO POR INDEFERIMENTO DA PETIÇÃO INICIAL – IMPOSSIBILIDADE – DECISÃO SURPRESA – NULIDADE – VIOLAÇÃO AOS ARTS. 9 E 10 DO CPC – NECESSIDADE DE OBSERVÂNCIA DOS PRINCÍPIOS DO CONTRADITÓRIO E AMPLA DEFESA – PRIMAZIA DO JULGAMENTO DO MÉRITO – APLICAÇÃO DA INTERPRETAÇÃO LÓGICO/SISTEMÁTICA – NÃO INCIDÊNCIA DE ALGUMA DAS HIPÓTESES ENTABULADAS NO § 1º DO ART 330, DO CPC – SENTENÇA ANULADA DE OFÍCIO – RETORNO DOS AUTOS À ORIGEM PARA REGULAR PROSSEGUIMENTO DO FEITO. Recurso prejudicado. Com arrimo no artigo 932 do Código de Processo Civil, em liame com a Súmula sob o nº 568 do Superior Tribunal de Justiça e na forma estabelecida do artigo 12, inciso XIII, do Regimento Interno das Turmas Recursais dos Juizados Especiais deste Tribunal, os quais permitem ao relator dar prosseguimento ao recurso quando houver entendimento dominante acerca do tema, passo a julgar monocraticamente o caso abordado nos autos.",4ª Turma Recursal,Marco Vinicius Schiebel,Ponta Grossa,False,20230110
67,0009850-59.2019.8.16.01742,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae7269181f27849bad23d760154d402a845489d1fa909f8bf88bec55,20230110,Requerente(s): ANTONIO SWIRSKI Requerido(s): DEPARTAMENTO DE TRANSITO DO ESTADO DO PARANÁ - DETRAN/PR,4ª Turma Recursal,Fernando Swain Ganem,União da Vitória,False,20230110
68,0003466-78.2022.8.16.9000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae726918de7172a117458ea6154d402a845489d1fa909f8bf88bec55,20230110,DECISÃO MONOCRÁTICA. PROCESSO CIVIL. AGRAVO DE INSTRUMENTO. INTERPOSIÇÃO CONTRA DECISÃO QUE DECLINOU COMPETÊNCIA. JUIZADOS ESPECIAIS DA FAZENDA PÚBLICA. SISTEMA DE IRRECORRIBILIDADE RELATIVA OU MITIGADA. CABIMENTO DE AGRAVO DE INSTRUMENTO SOMENTE CONTRA DECISÕES QUE TRATE DE PROVIDÊNCIAS CAUTELARES E ANTECIPATÓRIAS NO CURSO DO PROCESSO. INTELIGÊNCIA DO ART. 4º DA LEI 12.153/09. INOCORRÊNCIA NO CASO DOS AUTOS. NÃO PREENCHIMENTO DE UM DOS REQUISITOS INTRÍNSECOS DE ADMISSIBILIDADE RECURSAL. NÃO CONHECIMENTO DO RECURSO.,4ª Turma Recursal,Pamela Dalle Grave Flores Paganini,Curitiba,False,20230110
69,0002035-21.2021.8.16.01481,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae7269188c9e969091cdfb0ca30e793f58e62586fa909f8bf88bec55,20230110,"DECISÃO MONOCRÁTICA. EMBARGOS DE DECLARAÇÃO EM FACE DE DECISÃO PROFERIDA PELO RELATOR. NÃO CABIMENTO. PRECEDENTES DO STF. IMPOSSIBILIDADE DE CONVERTER OS EMBARGOS EM AGRAVO INTERNO. INAPLICABILIDADE DO PRINCÍPIO DA FUNGIBILIDADE. ERRO GROSSEIRO. FUNDAMENTAÇÃO QUE APONTA, INCLUSIVE, O INTERESSE EM PREQUESTIONAR MATÉRIA CONSTITUCIONAL MEDIANTE A INTERPOSIÇÃO DE EMBARGOS DE DECLARAÇÃO. EMBARGOS NÃO CONHECIDOS.",3ª Turma Recursal,Fernando Swain Ganem,Rolândia,False,20230110
70,0000409-38.2010.8.16.00551,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d632905e5621a8cdb37220fe3b802a02e47193f288f109d97d6fd31d3f8024c4726,20230110,Requerente(s): HSBC BANK BRASIL S.A. - BANCO MULTIPLO Requerido(s): SERAFINA INÉSIA SCOPARO FANTINELI,3ª Turma Recursal,Fernando Swain Ganem,Cambará,False,20230110
71,0002664-27.2019.8.16.0160,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae72691873cbe2661bfd9a97b0916c69d42af49cfa909f8bf88bec55,20230110,DECISÃO MONOCRÁTICA. AÇÃO DE INDENIZAÇÃO POR DANOS MORAIS. ÁGUAS DE SARANDI. SERVIÇO DE FORNECIMENTO DE ÁGUA IMPRÓPRIA PARA CONSUMO. NECESSIDADE DE PERÍCIA TÉCNICA PARA APURAR AS IMPUREZAS ALEGADAS. INCOMPETÊNCIA DO JUIZADO ESPECIAL. INTELIGÊNCIA DO IRDR Nº 1.676.864- 4 – TESE “G”. EXTINÇÃO DO FEITO SEM RESOLUÇÃO DO MÉRITO. SENTENÇA ANULADA. RECURSO PREJUDICADO.,4ª Turma Recursal,Aldemar Sternadt,Sarandi,False,20230110
72,0060963-84.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563b9df2796e0f6f3a4a30e793f58e62586b0c8c3cf6544d248,20230110,DECISÃO MONOCRÁTICA. PROCESSUAL CIVIL. AGRAVO DE INSTRUMENTO INTERPOSTO CONTRA DECISÃO QUE DETERMINOU O RECOLHIMENTO DE CUSTAS PARA INÍCIO DA FASE DE CUMPRIMENTO DE SENTENÇA. RECURSO DO EXEQUENTE. MERA FASE PROCESSUAL. INEXISTÊNCIA DE INCIDENTE OU PROCESSO AUTÔNOMO. AUSÊNCIA DE PREVISÃO LEGAL. INTELIGÊNCIA DO ART. 1º DA INSTRUÇÃO NORMATIVA 03/2020 DA CGJ/PR C/C SÚMULA 59 DO TJPR (INCIDENTE DE UNIFORMIZAÇÃO DE JURISPRUDÊNCIA Nº 1.140.195-9/02). OBRIGAÇÃO DE RECOLHIMENTO AFASTADA. PRECEDENTES. DECISÃO INTERLOCUTÓRIA REFORMADA. RECURSO CONHECIDO E PROVIDO.,6ª Câmara Cível,Lilian Romero,Curitiba,False,20230110
73,0051045-56.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563cc70cdf7e4bb8937154d402a845489d1b0c8c3cf6544d248,20230110,"AGRAVO DE INSTRUMENTO. PREVIDENCIÁRIO. DECISÃO RECORRIDA QUE INDEFERIU A REALIZAÇÃO DE NOVA PERÍCIA POR ORTOPEDISTA. HIPÓTESE ESTRANHA AO ROL TAXATIVO DE CABIMENTO. ART. 1.015 DO CPC. AUSÊNCIA, OUTROSSIM, DOS REQUISITOS PARA A MITIGAÇÃO DA TAXATIVIDADE LEGAL. AGRAVO DE INSTRUMENTO INADMISSÍVEL. ART. 932, III, DO CPC. RECURSO NÃO CONHECIDO.",6ª Câmara Cível,Lilian Romero,Cornélio Procópio,False,20230110
74,0038873-56.2011.8.16.0004,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925632c0c8134ad991cf4c24ca277cc503138b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
1ª CÂMARA CÍVEL",1ª Câmara Cível,Salvatore Antonio Astuti,Curitiba,False,20230110
75,0000221-59.2023.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563e1bd67e3a806ab5da50b6147d9c2b063b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
4ª CÂMARA CRIMINAL",4ª Câmara Criminal,Carvilio da Silveira Filho,Santo Antônio do Sudoeste,False,20230110
76,0000093-40.2001.8.16.0152,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd9256350d65305218c966cafe8b279ff3d9d8fb0c8c3cf6544d248,20230110,"DECISÃO MONOCRÁTICA. APELAÇÃO CÍVEL. TRIBUTÁRIO. EXECUÇÃO FISCAL. VALOR DA CAUSA INFERIOR A 50 ORTN. ART. 34, DA LEF. SENTENÇA QUE RECONHECEU A PRESCRIÇÃO MATERIAL DO DÉBITO FISCAL. IMPOSSIBILIDADE DE ANÁLISE DO RECURSO POR ESTE TRIBUNAL. INAPLICABILIDADE DO PRINCÍPIO DA FUNGIBILIDADE. RECURSO NÃO CONHECIDO.",2ª Câmara Cível,Carlos Mauricio Ferreira,Santa Mariana,False,20230110
77,0065419-77.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd9256309b09af5d0b21bad1d8c17947faf61b9b0c8c3cf6544d248,20230110,"PODER JUDICIÁRIO
Estado do Paraná TRIBUNAL DE JUSTIÇA
HABEAS CORPUS Nº 0065419-77.2022.8.16.0000
IMPETRANTES : Marjorie Jacqueline Tavares de Lima (Advogada)
PACIENTE : Jeferson Paulo da Silva
PROCEDÊNCIA : Vara de Execuções Penais e Corregedoria dos Presídios do Foro
Central da Comarca da Região metropolitana de Londrina
RELATOR : Juiz OSVALDO CANELA JUNIOR
EMENTA",3ª Câmara Criminal,Osvaldo Canela Junior,* Não definida,False,20230110
78,0000195-96.2020.8.16.0087,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563d0c55ff1d4bf528aec54ac705a3b031eb0c8c3cf6544d248,20230110,"FERNANDO ANTONIO PRAZERES) DECISÃO MONOCRÁTICA. APELAÇÃO CÍVEL. EXTINÇÃO DO PROCESSO, SEM RESOLUÇÃO DE MÉRITO, EM RELAÇÃO A UM DOS DEMANDADOS. ILEGITIMIDADE PASSIVA. DECISÃO DE CUNHO INTERLOCUTÓRIO, IMPUGNÁVEL POR AGRAVO DE INSTRUMENTO. INTELIGÊNCIA DO ART. 354, § ÚNICO, DO CPC. ERRO GROSSEIRO. INAPLICABILIDADE DO PRINCÍPIO DA FUNGIBILIDADE RECURSAL. PRECEDENTE DESTA CORTE DE JUSTIÇA. RECURSO NÃO CONHECIDO.",18ª Câmara Cível,Ana Paula Kaled Accioly Rodrigues da Costa,Guaraniaçu,False,20230110
79,0001859-15.2018.8.16.00941,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925638cb189f4073a1cce154d402a845489d1b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
2ª CÂMARA CRIMINAL
Recurso em Sentido Estrito: 0001859-15.2018.8.16.0094/01
Recorrente: MINISTÉRIO PÚBLICO DO ESTADO DO PARANÁ",2ª Câmara Criminal,Mario Helton Jorge,Iporã,False,20230110
80,0038906-72.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563819815e108d111a65bce1bf63ddea135b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
12ª CÂMARA CÍVEL",12ª Câmara Cível,Vilma Régia Ramos de Rezende,Curitiba,False,20230110
81,0038821-86.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925637b251a5f052afff6a30e793f58e62586b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
15ª CÂMARA CÍVEL",15ª Câmara Cível,Shiroshi Yendo,Maringá,False,20230110
82,0050172-56.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd9256377b70b30379e94d21d8c17947faf61b9b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
10ª CÂMARA CÍVEL",10ª Câmara Cível,Elizabeth Maria de Franca Rocha,Londrina,False,20230110
83,0061784-25.2021.8.16.00003,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563d6303fe6c9ce3fc2afe8b279ff3d9d8fb0c8c3cf6544d248,20230110,"DECISÃO MONOCRÁTICA. AGRAVO INTERNO EM MANDADO DE SEGURANÇA. CONCURSO PÚBLICO. INSURGÊNCIA CONTRA DECISÃO QUE INDEFERIU A LIMINAR POSTULADA PELO IMPETRANTE /AGRAVANTE. POSTERIOR DESISTÊNCIA DO RECURSO. DESNECESSIDADE DE ANUÊNCIA DA PARTE ADVERSA. ART. 998, CAPUT, DO CÓDIGO DE PROCESSO CIVIL. PRODUÇÃO IMEDIATA DE EFEITOS, NÃO DEPENDENDO, PARA TANTO, DE HOMOLOGAÇÃO JUDICIAL. ANÁLISE DAS RAZÕES RECURSAIS PREJUDICADA. RECURSO NÃO CONHECIDO.",4ª Câmara Cível,Maria Aparecida Blanco de Lima,* Não definida,False,20230110
84,0000241-53.2022.8.16.0075,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae7269180e95c490addf896aa30e793f58e62586fa909f8bf88bec55,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ 5ª TURMA RECURSAL DOS JUIZADOS ESPECIAIS Autos nº. 0000241-53.2022.8.16.0075 1. Compulsando os autos, observo que a recorrente informou a desistência do recurso inominado interposto (mov. 22.1). O artigo 998 do CPC faculta à parte recorrente, a qualquer tempo, desistir do recurso interposto, mesmo sem anuência da parte recorrida. Sendo assim, considerando o pedido de mov. 22.1, bem como que o advogado subscritor possui poderes para desistir do recurso (mov. 1.2 – autos principais), homologo a desistência conforme pleiteado, nos termos do art. 998 do CPC. 2. Sem custas processuais. 3. Encaminhe-se o feito ao Juízo de Origem. 4. Intimações e diligências necessárias. Curitiba, data da assinatura eletrônica. Júlia Barreto Campêlo Juíza Relatora",5ª Turma Recursal dos Juizados Especiais,Júlia Barreto Campelo,Cornélio Procópio,False,20230110
85,0008954-51.2019.8.16.0130,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae726918b3ab25749be81f2fa30e793f58e62586fa909f8bf88bec55,20230110,RECURSO INOMINADO. DECISÃO MONOCRÁTICA. AÇÃO DE OBRIGAÇÃO DE FAZER C/C COBRANÇA. SENTENÇA DE IMPROCEDÊNCIA. SERVIDORA PÚBLICA DO MUNICÍPIO DE AMAPORÃ. AGENTE DE APOIO EDUCACIONAL. SENTENÇA DE IMPROCEDÊNCIA. REMUNERAÇÃO INFERIOR AO PISO. LEI FEDERAL Nº 11.738/2008. ATIVIDADE DE SUPORTE PEDAGÓGICO DE DOCÊNCIA COMPROVADA. DIFERENÇAS SALARIAIS DEVIDAS. SENTENÇA REFORMADA. RECURSO CONHECIDO E PROVIDO.,4ª Turma Recursal,Aldemar Sternadt,Paranavaí,False,20230110
86,0024796-39.2021.8.16.0021,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae7269188e41ddbc0007eb6eafe8b279ff3d9d8ffa909f8bf88bec55,20230110,"DECISÃO MONOCRÁTICA. RECURSO INOMINADO. SERVIDOR PÚBLICO ESTADUAL. APOSENTADORIA. SERVIDOR EM ATIVIDADE. MÉRITO. INDENIZAÇÃO DE FÉRIAS NÃO FRUÍDAS. ADMINISTRAÇÃO PÚBLICA DESCONSIDEROU O PERÍODO DE 23/06/2011-01/01 /2012. SENTENÇA DE PROCEDÊNCIA. INSURGÊNCIA DA PARTE RÉ. FORMA DE CONTAGEM DOS PERÍODOS AQUISITIVOS CONFORME PREVISÃO LEGAL. INEXISTÊNCIA DE PREJUÍZO AO SERVIDOR. VEDAÇÃO DO ENRIQUECIMENTO SEM CAUSA. PARTE RÉ QUE NÃO LOGROU ÊXITO EM COMPROVAR FATOS IMPEDITIVOS, EXTINTIVOS OU MODIFICATIVOS DO DIREITO DO AUTOR. ÔNUS PROBATÓRIO, A TEOR DO ARTIGO 373, II DO CPC. INFORMAÇÕES COLACIONADAS NO DOSSIÊ FUNCIONAL DE NÃOD FRUIÇÃO NEM RECEBIMENTO DAS FÉRIAS. SERVIDOR QUE AINDA ESTÁ EM EXERCÍCIO ATIVO. IMPOSSIBILIDADE DE INDENIZAÇÃO. AUSÊNCIA DE PREVISÃO LEGAL. RETIFICAÇÃO DO DOSSIÊ FUNCIONAL DO AUTOR. DIREITO DE FRUIÇÃO DAS FÉRIAS EM DETRIMENTO DE INDENIZAÇÃO. SENTENÇA PARCIALMENTE REFORMADA. Recurso conhecido e parcialmente provido.",4ª Turma Recursal,Aldemar Sternadt,Cascavel,False,20230110
